"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-06-11,"GM","Germany",3596359.79779947,"point",NA,"88 day ahead cum case"
2021-03-15,2021-06-12,"GM","Germany",3605057.62927025,"point",NA,"89 day ahead cum case"
2021-03-15,2021-06-13,"GM","Germany",3613693.68112817,"point",NA,"90 day ahead cum case"
2021-03-15,2021-06-14,"GM","Germany",3622268.4059031,"point",NA,"91 day ahead cum case"
2021-03-15,2021-06-15,"GM","Germany",3630782.25551402,"point",NA,"92 day ahead cum case"
2021-03-15,2021-06-16,"GM","Germany",3639235.68121218,"point",NA,"93 day ahead cum case"
2021-03-15,2021-06-17,"GM","Germany",3647629.13352965,"point",NA,"94 day ahead cum case"
2021-03-15,2021-06-18,"GM","Germany",3655963.06223271,"point",NA,"95 day ahead cum case"
2021-03-15,2021-06-19,"GM","Germany",3664237.91627982,"point",NA,"96 day ahead cum case"
2021-03-15,2021-06-20,"GM","Germany",3672454.14378341,"point",NA,"97 day ahead cum case"
2021-03-15,2021-06-21,"GM","Germany",3680612.19197545,"point",NA,"98 day ahead cum case"
2021-03-15,2021-06-22,"GM","Germany",3688712.50717626,"point",NA,"99 day ahead cum case"
2021-03-15,2021-03-15,"GM","Germany",2585385,"quantile",0.025,"0 day ahead cum case"
2021-03-15,2021-03-16,"GM","Germany",2595613.71428571,"quantile",0.025,"1 day ahead cum case"
2021-03-15,2021-03-17,"GM","Germany",2606016.7359125,"quantile",0.025,"2 day ahead cum case"
2021-03-15,2021-03-18,"GM","Germany",2616579.71438866,"quantile",0.025,"3 day ahead cum case"
2021-03-15,2021-03-19,"GM","Germany",2627267.13776051,"quantile",0.025,"4 day ahead cum case"
2021-03-15,2021-03-20,"GM","Germany",2638031.31234558,"quantile",0.025,"5 day ahead cum case"
2021-03-15,2021-03-21,"GM","Germany",2648822.94675349,"quantile",0.025,"6 day ahead cum case"
2021-03-15,2021-03-22,"GM","Germany",2659599.48140386,"quantile",0.025,"7 day ahead cum case"
2021-03-15,2021-03-23,"GM","Germany",2670329.19384309,"quantile",0.025,"8 day ahead cum case"
2021-03-15,2021-03-24,"GM","Germany",2680991.32703309,"quantile",0.025,"9 day ahead cum case"
2021-03-15,2021-03-25,"GM","Germany",2691573.83911634,"quantile",0.025,"10 day ahead cum case"
2021-03-15,2021-03-26,"GM","Germany",2702070.50142459,"quantile",0.025,"11 day ahead cum case"
2021-03-15,2021-03-27,"GM","Germany",2712478.44463294,"quantile",0.025,"12 day ahead cum case"
