"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-06-03,"GM","Germany",88082.7127836987,"point",NA,"80 day ahead cum death"
2021-03-15,2021-06-04,"GM","Germany",88224.0304025717,"point",NA,"81 day ahead cum death"
2021-03-15,2021-06-05,"GM","Germany",88364.0605861089,"point",NA,"82 day ahead cum death"
2021-03-15,2021-06-06,"GM","Germany",88502.8062205561,"point",NA,"83 day ahead cum death"
2021-03-15,2021-06-07,"GM","Germany",88640.2697701061,"point",NA,"84 day ahead cum death"
2021-03-15,2021-06-08,"GM","Germany",88780.6131590074,"point",NA,"85 day ahead cum death"
2021-03-15,2021-06-09,"GM","Germany",88924.9420277153,"point",NA,"86 day ahead cum death"
2021-03-15,2021-06-10,"GM","Germany",89068.0264411624,"point",NA,"87 day ahead cum death"
2021-03-15,2021-06-11,"GM","Germany",89209.9249208144,"point",NA,"88 day ahead cum death"
2021-03-15,2021-06-12,"GM","Germany",89350.6411382824,"point",NA,"89 day ahead cum death"
2021-03-15,2021-06-13,"GM","Germany",89486.9282452428,"point",NA,"90 day ahead cum death"
2021-03-15,2021-06-14,"GM","Germany",89616.4682752692,"point",NA,"91 day ahead cum death"
2021-03-15,2021-06-15,"GM","Germany",89744.7420250861,"point",NA,"92 day ahead cum death"
2021-03-15,2021-06-16,"GM","Germany",89871.7498946362,"point",NA,"93 day ahead cum death"
2021-03-15,2021-06-17,"GM","Germany",89997.4920584188,"point",NA,"94 day ahead cum death"
2021-03-15,2021-06-18,"GM","Germany",90121.9684708183,"point",NA,"95 day ahead cum death"
2021-03-15,2021-06-19,"GM","Germany",90245.1788711723,"point",NA,"96 day ahead cum death"
2021-03-15,2021-06-20,"GM","Germany",90367.1227885923,"point",NA,"97 day ahead cum death"
2021-03-15,2021-06-21,"GM","Germany",90487.7995465504,"point",NA,"98 day ahead cum death"
2021-03-15,2021-06-22,"GM","Germany",90607.2082672408,"point",NA,"99 day ahead cum death"
2021-03-15,2021-03-15,"GM","Germany",73701,"quantile",0.025,"0 day ahead cum death"
2021-03-15,2021-03-16,"GM","Germany",73910.2857142857,"quantile",0.025,"1 day ahead cum death"
2021-03-15,2021-03-17,"GM","Germany",74107.083134548,"quantile",0.025,"2 day ahead cum death"
2021-03-15,2021-03-18,"GM","Germany",74292.7261929371,"quantile",0.025,"3 day ahead cum death"
2021-03-15,2021-03-19,"GM","Germany",74469.3153325311,"quantile",0.025,"4 day ahead cum death"
2021-03-15,2021-03-20,"GM","Germany",74637.2229177677,"quantile",0.025,"5 day ahead cum death"
2021-03-15,2021-03-21,"GM","Germany",74797.1765420023,"quantile",0.025,"6 day ahead cum death"
2021-03-15,2021-03-22,"GM","Germany",74952.5663596737,"quantile",0.025,"7 day ahead cum death"
2021-03-15,2021-03-23,"GM","Germany",75104.811342815,"quantile",0.025,"8 day ahead cum death"
2021-03-15,2021-03-24,"GM","Germany",75254.8099857498,"quantile",0.025,"9 day ahead cum death"
2021-03-15,2021-03-25,"GM","Germany",75403.1017280352,"quantile",0.025,"10 day ahead cum death"
2021-03-15,2021-03-26,"GM","Germany",75549.9858762677,"quantile",0.025,"11 day ahead cum death"
2021-03-15,2021-03-27,"GM","Germany",75695.6222110669,"quantile",0.025,"12 day ahead cum death"
2021-03-15,2021-03-28,"GM","Germany",75840.0982244465,"quantile",0.025,"13 day ahead cum death"
2021-03-15,2021-03-29,"GM","Germany",75983.4668567808,"quantile",0.025,"14 day ahead cum death"
2021-03-15,2021-03-30,"GM","Germany",76125.7648877609,"quantile",0.025,"15 day ahead cum death"
2021-03-15,2021-03-31,"GM","Germany",76267.0209766518,"quantile",0.025,"16 day ahead cum death"
2021-03-15,2021-04-01,"GM","Germany",76407.253460148,"quantile",0.025,"17 day ahead cum death"
2021-03-15,2021-04-02,"GM","Germany",76546.4431227719,"quantile",0.025,"18 day ahead cum death"
2021-03-15,2021-04-03,"GM","Germany",76684.6292570194,"quantile",0.025,"19 day ahead cum death"
2021-03-15,2021-04-04,"GM","Germany",76821.8591895421,"quantile",0.025,"20 day ahead cum death"
2021-03-15,2021-04-05,"GM","Germany",76958.1732163722,"quantile",0.025,"21 day ahead cum death"
2021-03-15,2021-04-06,"GM","Germany",77093.6051021358,"quantile",0.025,"22 day ahead cum death"
2021-03-15,2021-04-07,"GM","Germany",77228.1825525502,"quantile",0.025,"23 day ahead cum death"
2021-03-15,2021-04-08,"GM","Germany",77361.9276634295,"quantile",0.025,"24 day ahead cum death"
2021-03-15,2021-04-09,"GM","Germany",77494.8573477169,"quantile",0.025,"25 day ahead cum death"
2021-03-15,2021-04-10,"GM","Germany",77626.9837416752,"quantile",0.025,"26 day ahead cum death"
2021-03-15,2021-04-11,"GM","Germany",77758.314591271,"quantile",0.025,"27 day ahead cum death"
2021-03-15,2021-04-12,"GM","Germany",77888.8536197106,"quantile",0.025,"28 day ahead cum death"
2021-03-15,2021-04-13,"GM","Germany",78018.600877051,"quantile",0.025,"29 day ahead cum death"
2021-03-15,2021-04-14,"GM","Germany",78147.5530727618,"quantile",0.025,"30 day ahead cum death"
2021-03-15,2021-04-15,"GM","Germany",78275.703892068,"quantile",0.025,"31 day ahead cum death"
2021-03-15,2021-04-16,"GM","Germany",78403.0442968627,"quantile",0.025,"32 day ahead cum death"
2021-03-15,2021-04-17,"GM","Germany",78529.5628119453,"quantile",0.025,"33 day ahead cum death"
2021-03-15,2021-04-18,"GM","Germany",78655.2457973,"quantile",0.025,"34 day ahead cum death"
2021-03-15,2021-04-19,"GM","Germany",78780.0777070955,"quantile",0.025,"35 day ahead cum death"
2021-03-15,2021-04-20,"GM","Germany",78904.0413360503,"quantile",0.025,"36 day ahead cum death"
2021-03-15,2021-04-21,"GM","Germany",79027.1180537863,"quantile",0.025,"37 day ahead cum death"
2021-03-15,2021-04-22,"GM","Germany",79149.2880277505,"quantile",0.025,"38 day ahead cum death"
2021-03-15,2021-04-23,"GM","Germany",79270.5304352663,"quantile",0.025,"39 day ahead cum death"
2021-03-15,2021-04-24,"GM","Germany",79390.8320829808,"quantile",0.025,"40 day ahead cum death"
2021-03-15,2021-04-25,"GM","Germany",79510.2052357953,"quantile",0.025,"41 day ahead cum death"
2021-03-15,2021-04-26,"GM","Germany",79628.6639560672,"quantile",0.025,"42 day ahead cum death"
2021-03-15,2021-04-27,"GM","Germany",79746.2197198973,"quantile",0.025,"43 day ahead cum death"
2021-03-15,2021-04-28,"GM","Germany",79862.8815876245,"quantile",0.025,"44 day ahead cum death"
2021-03-15,2021-04-29,"GM","Germany",79978.6563609164,"quantile",0.025,"45 day ahead cum death"
2021-03-15,2021-04-30,"GM","Germany",80093.5487322011,"quantile",0.025,"46 day ahead cum death"
2021-03-15,2021-05-01,"GM","Germany",80207.5614268067,"quantile",0.025,"47 day ahead cum death"
2021-03-15,2021-05-02,"GM","Germany",80320.6953381703,"quantile",0.025,"48 day ahead cum death"
2021-03-15,2021-05-03,"GM","Germany",80432.9496564544,"quantile",0.025,"49 day ahead cum death"
2021-03-15,2021-05-04,"GM","Germany",80544.3219908889,"quantile",0.025,"50 day ahead cum death"
2021-03-15,2021-05-05,"GM","Germany",80654.8084861466,"quantile",0.025,"51 day ahead cum death"
2021-03-15,2021-05-06,"GM","Germany",80764.4039330432,"quantile",0.025,"52 day ahead cum death"
2021-03-15,2021-05-07,"GM","Germany",80873.1018738391,"quantile",0.025,"53 day ahead cum death"
2021-03-15,2021-05-08,"GM","Germany",80980.894702403,"quantile",0.025,"54 day ahead cum death"
2021-03-15,2021-05-09,"GM","Germany",81087.7737594953,"quantile",0.025,"55 day ahead cum death"
2021-03-15,2021-05-10,"GM","Germany",81193.7294233981,"quantile",0.025,"56 day ahead cum death"
2021-03-15,2021-05-11,"GM","Germany",81298.7511961323,"quantile",0.025,"57 day ahead cum death"
2021-03-15,2021-05-12,"GM","Germany",81402.8277854616,"quantile",0.025,"58 day ahead cum death"
2021-03-15,2021-05-13,"GM","Germany",81505.9471829068,"quantile",0.025,"59 day ahead cum death"
2021-03-15,2021-05-14,"GM","Germany",81608.0967379456,"quantile",0.025,"60 day ahead cum death"
2021-03-15,2021-05-15,"GM","Germany",81709.2632286001,"quantile",0.025,"61 day ahead cum death"
2021-03-15,2021-05-16,"GM","Germany",81809.4329285802,"quantile",0.025,"62 day ahead cum death"
2021-03-15,2021-05-17,"GM","Germany",81908.5916711509,"quantile",0.025,"63 day ahead cum death"
2021-03-15,2021-05-18,"GM","Germany",82006.7249098859,"quantile",0.025,"64 day ahead cum death"
2021-03-15,2021-05-19,"GM","Germany",82103.8177764586,"quantile",0.025,"65 day ahead cum death"
2021-03-15,2021-05-20,"GM","Germany",82199.8585249974,"quantile",0.025,"66 day ahead cum death"
2021-03-15,2021-05-21,"GM","Germany",82294.861682295,"quantile",0.025,"67 day ahead cum death"
2021-03-15,2021-05-22,"GM","Germany",82388.8394036964,"quantile",0.025,"68 day ahead cum death"
2021-03-15,2021-05-23,"GM","Germany",82481.800676847,"quantile",0.025,"69 day ahead cum death"
